company,date_announced,jobs_cut,pct_workforce,hq_location,industry,source_link,notes,status

Ai-driven Layoffs Could Erode Firms’ Competitive Edge: Jasmine Lau - Singapore Business Review,2026-05-08,,,Singapore,Other,https://news.google.com/rss/articles/CBMiowFBVV95cUxQdEF3ZHhqQ1Axd0pYUndtMktpc080V3lUX1ExdzBlcUJEbHluOEZybzIwS3RwM1ZDemV6Vng0TFJlWEJDV2RMNFl3ZXlXeW5qM1V3Y3Zlc09KbTAteVZ5M1hnQmp0X0ZSN1E2T2RkU0JjVmNFYm1objg2dkhkUHMyZHY3S0dDeXo5QkNDT1I4S3Fld3hSUDZYenJING5FWXJ1UWE0?oc=5&hl=en-US&gl=US&ceid=US:en,Not a specific layoff event,"rumored"
Retrenched At 22: What It’s Like To Be Laid Off In Your First Job - The Business Times,2026-05-14,,,Singapore,Other,https://news.google.com/rss/articles/CBMinwFBVV95cUxOZmt5Mmx5azloNEtiY0w4bEE0UUxBRF9aaUNRQmhOVVVGU0p3eDktMmtpbGJ3UElnQl9FclFINU9lQnRmQktOU0ZQU25Jb2FEZnBNRlBTMWM2NFQwLTVzSkNGWFdOamdHNDViSERmRFRQN3VNWENucnY3T245cFlxVlJfUnJFWkoyRlF2YXFEbGtBbHpFak8yb2RCZ0dBZDg?oc=5&hl=en-US&gl=US&ceid=US:en,Not a specific layoff event,"rumored"
Layoffs Hit Singapore: Seven Industries Have Already,2025-11-24,20000,,Singapore,Other,https://news.google.com/rss/articles/CBMibEFVX3lxTFBRQ1FIdDRINmlLWXRZTGFVdnpCVE1YR05MLWUxaC1OelM4ZHlpSnBtUWV2Sk0zSlBpOTR3cEdualcxWTNORjhLeDluSnBJazRXX1BpemdTTGNMdlg0MVcxZDl2R0FvZmF5UDVJNw?oc=5&hl=en-US&gl=US&ceid=US:en,Not a specific layoff event,"rumored"
"Pmet Layoffs, Vacancies Suggest Ongoing Restructuring; No Broad-based Displacement By Ai: Mom - The Business Times",2026-03-20,,,Singapore,Other,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNck9sUGh5cGdNOTBYbVotR1FoNmNiWGdUTkRBQlotMEpYZnBXRVl0bWYxeVZfcHdTWTB5NHNhanpGUGtVR3hMbU1vZ05yQTZHZXJOUFViZGh3c1VEV2RVb0YyT2VTcXFoWVlCY1QweWpDX24zZ2VzSjBqbDcyZmU4R1JUNktqM2hYZUE4Q3hJTTNiaF9xdHEzUjNDc2I1cl9ySFVUcGhBQUl6UEdNSVpJT0FTSmFkRGpiT3Jzb0tVTGhLOWh6TGtFS1ItQU5kRDFmOVlYMGhmY0JqR2lSTXc?oc=5&hl=en-US&gl=US&ceid=US:en,BROKEN URL - Error 400,"rumored"
From Tech To Oil And Gas: Job,2025-10-03,,,Singapore,Other,https://news.google.com/rss/articles/CBMipgFBVV95cUxOTUZLaWFjMFRPeXdLSXY0WGE3VW9xbWE0MFlzWEhNa1NWQ2YzY2l2WkV2Rzk0ZGpLekZkLUlBejBIZ0tlcjdEd1ZuUDBMU2Noa0MwYi1IZ2l2R3dNT3A2MU9yMVY5dWZOWUZXd0dwVHYxYnJNLTF0Qzg2ekgxcGNUU1U2XzJfQ2xES0s2SnBSWDB5UkJGUVZKcklMeVFreGhzazVaS2VR?oc=5&hl=en-US&gl=US&ceid=US:en,Not a specific layoff event,"rumored"
"Singapore Logistics Firms Brace For Tougher Times, But Ev Adopters Yet To Feel The Pinch - Cna",2026-04-29,,,Singapore,Other,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPbW9iSW96MzV1cmhKSUxQbXB6THZSbmJtb2owQkdRTEMxQXVFUlVRNERwR05PWWswV0I5WjlGLTJIY3RFTWRjSHlQWlNDTjgxRjd0ZEMxcHNncm8yYWhKcmJpQTVFQTNmblBKaERwdmdpWC1KSnJNdDgtSWREWmI3djZnVjY0UFJmTDduY2t2WUdwcFRqLXZwNkd6TkhJa0pOZXM1ZDBPNjFSY1V2aUZnMEJHMGJoS2NyMHpDMEdTekxxazFjaWFVRQ?oc=5&hl=en-US&gl=US&ceid=US:en,BROKEN URL - Error 400,"rumored"
"Singapore Says Ai Must Create “good Jobs,” Not Mass Layoffs - People Matters Media",2026-05-07,,,Singapore,Other,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQV1pZU2ZTWTU3eGpxQlIteWpXekNZR3NaNEYyQzZ4VUk3RER6NGowd0hFWDQ2bzhtekdRd0d2QTB5d3VkeWtkVHdPcU9tTlVQM25icUctcGo0TWZFMFlJUUg0MXpuMHg5dWg5blFvaUNOOGJad2oxck5raUdXaUFRZzNhTEd1M3M0OWs3Ql9XTTVSMHNMS256VWxkaDlMVC1Xd29PbUdIMU10UlZtRkw2X0M4Mm4wZklpSjhQQmFVOTY5Zw?oc=5&hl=en-US&gl=US&ceid=US:en,BROKEN URL - Error 400,"rumored"
"Meta, Amazon, Wall Street: Global Giants Slashing Headcounts Worldwide - The Business Times",2026-05-01,,,Singapore,Other,https://news.google.com/rss/articles/CBMivgFBVV95cUxPQW1GUFR5M1Q4R0FoNmtoeGVDWFN6ajRwb3o5ZmlFaWtjX3ZZaFNTNThsbnY0U1ZkSlZPNHdMMkYtWnBWZ0FqWVFGUC1CbW0wQ0M1dERnY25JeEdIU0NLUlpXbmdpZ0ZWRjVOSUJOSmlOLTUwdkVhUXVwVGljTDkteS1tMDBhQ0VPbFppbXVadm1XS0dVb3kzTmhVVjNnengzMk5OX3hYNjJzUGp2bnhLWHlhY2xoNTl5ZUROTHZB?oc=5&hl=en-US&gl=US&ceid=US:en,BROKEN URL - Error 400,"rumored"
"‘they Moved Everything Overseas’: Local Employee, Now The Only One Left In Sg, Fears Being Laid Off - The Independent Singapore News",2026-04-25,,,Singapore,Other,https://news.google.com/rss/articles/CBMivgFBVV95cUxOLUF0cHplMGtEY3lTdnVDSi1xUnZhV3JVS3dBZVFhUERfallwRHNOX3ZoRHQ0SVFVYWtneDhYM2FkS3Z4VjZmZ1pDTFNvdjJmbzNnSTk5NVlETHRBeU1FTldmanh2OGU5TDVzU2F3RzFWajVoNE10dDhVVHZYd0R2SnU0ZW45RzlweWNSZGZQa2hiVFhEOTlIWVp0Z21JTXBidUlreHFkMHZyNkN4Vnh6UmhWQlBEbHRVbHdxVVd3?oc=5&hl=en-US&gl=US&ceid=US:en,BROKEN URL - Error 400,"rumored"
